occurrenceID,basisOfRecord,scientificName,eventDate,class_,decimalLongitude,vernacularName,locality,phylum,kingdom,geodeticDatum,scientificNameAuthorship,occurrenceRemarks,family,countryCode,genus,taxonID,specificEpithet,decimalLatitude,eventID,taxonRank,order,individualCount
2020-09-13T09:37:44.715178,Human Observation,Trogon collaris,1600002300000,Aves,-83.080353,Trogón collarejo,TC-01 Tres Colinas,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",,Trogonidae,CR,Trogon,000022,collaris,9.120107,2020-09-13T09:36:47.248630,species,Trogoniformes,1
2020-09-13T09:37:48.785608,Human Observation,Myadestes melanops,1600002300000,Aves,-83.080353,Jilguero,TC-01 Tres Colinas,Chordata,Animalia,EPSG:4326,"Salvin, 1865",,Turdidae,CR,Myadestes,000024,melanops,9.120107,2020-09-13T09:36:47.248630,species,Passeriformes,1
2020-09-13T09:37:56.807019,Human Observation,Ateles geoffroyi,1600002300000,Mammalia,-83.080353,Mono araña,TC-01 Tres Colinas,Chordata,Animalia,EPSG:4326,"Kuhl, 1820",,Atelidae,CR,Ateles,000012,geoffroyi,9.120107,2020-09-13T09:36:47.248630,species,Primates,1
2020-09-13T09:37:58.643920,Human Observation,Tapirus bairdii,1600002300000,Mammalia,-83.080353,Danta,TC-01 Tres Colinas,Chordata,Animalia,EPSG:4326,,,Tapiridae,CR,Tapirus,000010,bairdii,9.120107,2020-09-13T09:36:47.248630,species,Perissodactyla,3
2020-09-13T09:38:00.646428,Human Observation,Crypturellus soui,1600002300000,Aves,-83.080353,"Gallina de monte, tinamú chico",TC-01 Tres Colinas,Chordata,Animalia,EPSG:4326,"(Hermann, 1783)",,Tinamidae,CR,Crypturellus,000027,soui,9.120107,2020-09-13T09:36:47.248630,species,Tinamiformes,1
2020-10-10T11:24:27.176652,Human Observation,Ortalis cinereiceps,1602350580000,Aves,0.0,"Pajuila, chachalaca cabecigrís",finca granito de oro,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,0.0,0,species,Galliformes,1
2020-10-12T17:15:58.739321,Human Observation,Dasyprocta punctata,1602544440000,Mammalia,0.0,"Cherenga, guatusa",camino a savegre ,Chordata,Animalia,EPSG:4326,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,0.0,0,species,Rodentia,1
2020-10-12T17:18:16.375337,Human Observation,Penelope purpurascens,1602544620000,Aves,0.0,Pava granadera,camino a savegre ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,0.0,0,species,Galliformes,1
2020-10-12T17:18:21.328492,Human Observation,Penelope purpurascens,1602544620000,Aves,0.0,Pava granadera,camino a savegre ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,0.0,0,species,Galliformes,1
2020-10-14T05:12:17.669363,Human Observation,Ortalis cinereiceps,1602673920000,Aves,-83.841772,"Pajuila, chachalaca cabecigrís",granito de oro,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.442305,0,species,Galliformes,1
2020-10-11T09:04:39.848322,Human Observation,Chamaepetes unicolor,1602334920000,Aves,-83.501806,Pava negra,S.Jeronimo,Chordata,Animalia,EPSG:4326,"Salvin, 1867",,Cracidae,CR,Chamaepetes,000031,unicolor,9.381478,0,species,Galliformes,1
2020-10-11T09:05:43.541691,Human Observation,Trogon collaris,1602335040000,Aves,-83.501771,Trogón collarejo,S.Jeronimo,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",,Trogonidae,CR,Trogon,000022,collaris,9.381347,0,species,Trogoniformes,1
2020-09-05T08:44:56.805905,Human Observation,Dasyprocta punctata,1599316560000,Mammalia,-83.845292,"Cherenga, guatusa",SA-01 Savegre Abajo,Chordata,Animalia,EPSG:4326,"Gray, 1842",,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.431213,2020-09-05T08:44:56.164161,species,Rodentia,1
2020-09-05T09:13:10.899218,Human Observation,Ortalis cinereiceps,1599318660000,Aves,-83.843687,"Pajuila, chachalaca cabecigrís",Savegre abajo,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.43021,0,species,Galliformes,1
2020-09-05T09:15:30.422154,Human Observation,Penelope purpurascens,1598973240000,Aves,-83.829917,Pava granadera,Savegre Abajo ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.425715,0,species,Galliformes,7
2020-09-05T09:16:34.277944,Human Observation,Leopardus pardalis,1598886900000,Mammalia,-83.827068,"Ocelote, manigordo",Savegre Abajo ,Chordata,Animalia,EPSG:4326,"(Linnaeus, 1758)",,Felidae,CR,Leopardus,000003,pardalis,9.421575,0,species,Carnivora,1
2020-09-09T06:28:49.013234,Human Observation,Crax rubra,1599136020000,Aves,-83.87079,Pavón grande,savegre abajo,Chordata,Animalia,EPSG:4326,"Linnaeus, 1758",,Cracidae,CR,Crax,000028,rubra,9.426249,0,species,Galliformes,3
2020-09-10T06:36:14.102342,Human Observation,Penelope purpurascens,1599741300000,Aves,-83.841534,Pava granadera,Savegre Abajo ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.431532,0,species,Galliformes,3
2020-09-29T06:05:02.658819,Human Observation,Penelope purpurascens,1601380980000,Aves,-83.843227,Pava granadera,Savegre Abajo ,Chordata,Animalia,EPSG:4326,"Wagler, 1830",,Cracidae,CR,Penelope,000029,purpurascens,9.429896,0,species,Galliformes,2
2020-10-09T08:18:14.310135,Human Observation,Trogon caligatus,1602252960000,Aves,-83.845292,Trogón cabecimorado,SA-01 Savegre Abajo,Chordata,Animalia,EPSG:4326,,,Trogonidae,CR,Trogon,000020,caligatus,9.431213,2020-10-09T08:18:13.681276,species,Trogoniformes,1
2020-09-05T08:18:32.078584,Human Observation,Dasyprocta punctata,1601531940000,Mammalia,-83.009009,"Cherenga, guatusa",AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Gray, 1842",Dia lluvioso,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.005495,2020-10-01T00:03:39.326982,species,Rodentia,1
2020-10-01T00:03:40.141591,Human Observation,Cebus imitator,1601531940000,Mammalia,-83.009009,Mono cara blanca,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Thomas, 1903",Dia lluvioso,Cebidae,CR,Cebus,000013,imitator,9.005495,2020-10-01T00:03:39.326982,species,Primates,3
2020-10-01T00:03:40.360085,Human Observation,Pharomachrus mocinno,1601531940000,Aves,-83.009009,Quetzal,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"De la Llave, 1832",Dia lluvioso,Trogonidae,CR,Pharomachrus,000017,mocinno,9.005495,2020-10-01T00:03:39.326982,species,Trogoniformes,1
2020-10-01T00:03:40.609345,Human Observation,Leopardus tigrinus,1601531940000,Mammalia,-83.009009,"Oncilla, caucel",AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"(Schreber, 1775)",Dia lluvioso,Felidae,CR,Leopardus,000005,tigrinus,9.005495,2020-10-01T00:03:39.326982,species,Carnivora,1
2020-10-09T09:29:03.018010,Human Observation,Dasyprocta punctata,1602257040000,Mammalia,-83.3789,"Cherenga, guatusa",RC-03 Santa María,Chordata,Animalia,EPSG:4326,"Gray, 1842",vista en charral,Dasyproctidae,CR,Dasyprocta,000015,punctata,9.27667,2020-10-09T09:28:53.135696,species,Rodentia,1
2020-10-09T09:29:05.719485,Human Observation,Tinamus major,1602257040000,Aves,-83.3789,"Gallina de monte, tinamú grande",RC-03 Santa María,Chordata,Animalia,EPSG:4326,"(J.F.Gmelin, 1789)",vista en charral,Tinamidae,CR,Tinamus,000025,major,9.27667,2020-10-09T09:28:53.135696,species,Tinamiformes,1
2020-09-20T09:57:44.033275,Human Observation,Ortalis cinereiceps,1600605540000,Aves,-83.126513,"Pajuila, chachalaca cabecigrís",LU-01 La Luchita,Chordata,Animalia,EPSG:4326,"G.R.Gray, 1867",,Cracidae,CR,Ortalis,000030,cinereiceps,9.090289,2020-09-20T09:57:43.463695,species,Galliformes,2
2020-09-20T09:57:44.423610,Human Observation,Saimiri oerstedii,1600605540000,Mammalia,-83.126513,Mono tití,LU-01 La Luchita,Chordata,Animalia,EPSG:4326,"(Reinhardt, 1872)",,Cebidae,CR,Saimiri,000014,oerstedii,9.090289,2020-09-20T09:57:43.463695,species,Primates,10
2020-09-20T09:57:44.726844,Human Observation,Trogon caligatus,1600605540000,Aves,-83.126513,Trogón cabecimorado,LU-01 La Luchita,Chordata,Animalia,EPSG:4326,,,Trogonidae,CR,Trogon,000020,caligatus,9.090289,2020-09-20T09:57:43.463695,species,Trogoniformes,1
2020-09-18T09:18:28.769386,Human Observation,Trogon collaris,1600442100000,Aves,-83.009009,Trogón collarejo,AB-01 Altamira de Biolley-01,Chordata,Animalia,EPSG:4326,"Vieillot, 1817",,Trogonidae,CR,Trogon,000022,collaris,9.005495,2020-09-18T09:18:27.178875,species,Trogoniformes,2
