Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S60719905,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-SJ,,L9994433,"242, Pérez Zeledón CR-San José (9,4609,-83,6033)",9.460875,-83.603331,2019-10-05,05:57 AM,eBird - Traveling Count,474,1,1.6,,4
S64901984,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L10833526,"ASOMOBI, Provincia de Puntarenas, CR (9.034, -83.042)",9.0343738,-83.0417385,2020-02-23,05:46 AM,eBird - Traveling Count,50,1,.66,,2
S65608201,Chachalaca Cabecigrís,Ortalis cinereiceps,751,1,CR-P,,L10833526,"ASOMOBI, Provincia de Puntarenas, CR (9.034, -83.042)",9.0343738,-83.0417385,2020-02-24,12:07 PM,eBird - Traveling Count,82,1,1.36,,2
S66474598,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L10833526,"ASOMOBI, Provincia de Puntarenas, CR (9.034, -83.042)",9.0343738,-83.0417385,2020-03-28,05:54 AM,eBird - Traveling Count,59,1,.7,,2
S64876687,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L10830537,"Albergue María Isabel 22 feb. 2020 4:53 p. m.  9,039, -83,038",9.0386748,-83.0377109,2020-02-22,03:09 PM,eBird - Traveling Count,100,1,.15,,8
S64891827,Chachalaca Cabecigrís,Ortalis cinereiceps,751,1,CR-P,,L10830546,"Albergue María Isabel, Provincia de Puntarenas, CR (9.039, -83.038)",9.0386748,-83.0377109,2020-02-22,02:36 PM,eBird - Traveling Count,137,1,1.11,,6,,,Monitoreo Biologico AclaP
S62441539,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L10315298,"Altamira  Puntarenas, CR (9,012, -83,023)",9.0115038,-83.022822,2019-12-19,07:04 AM,eBird - Traveling Count,164,1,1.24,,5
S59624232,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L9892128,"Altamira De Volcán-Aprocome. Provincia de Puntarenas, CR (9,277, -83,46)",9.2767512,-83.4603862,2019-09-08,06:07 PM,eBird - Traveling Count,60,1,1,,2
S63334403,Chachalaca Cabecigrís,Ortalis cinereiceps,751,7,CR-SJ,,L10481092,"Altamira De volcán La perica, Provincia de Puntarenas, CR (9,287, -83,457)",9.2867313,-83.4570773,2020-01-12,02:24 PM,eBird - Traveling Count,120,1,1.8,,1
S59038310,Chachalaca Cabecigrís,Ortalis cinereiceps,751,5,CR-P,,L9804409,Altamira de Biolley,9.0096733,-83.0145406,2019-08-16,02:53 PM,eBird - Stationary Count,240,1,,,8
S63764085,Chachalaca Cabecigrís,Ortalis cinereiceps,751,2,CR-P,,L10570323,"Alto Las Palomas, Guadalajara, Provincia de Puntarenas, CR (9,232, -83,366)",9.2316307,-83.3664746,2020-01-24,06:00 AM,eBird - Traveling Count,188,1,1.72,,8
S64282715,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L10137493,"Aprocome-Altamira, Provincia de Puntarenas, CR (9,272, -83,464)",9.2715504,-83.4635845,2019-11-10,07:12 AM,eBird - Traveling Count,120,1,2,,3
S62441572,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L10314039,"Asoprola. Provincia de Puntarenas, CR (9,005, -83,009)",9.0054028,-83.009343,2019-12-19,07:05 AM,eBird - Traveling Count,166,1,1.62,,6
S58712958,Chachalaca Cabecigrís,Ortalis cinereiceps,751,7,CR-P,,L9804364,"Biolley, Provincia de Puntarenas, CR (9,034, -83,042)",9.0252436,-83.0486868,2019-08-03,06:39 AM,eBird - Traveling Count,120,1,.15,,5
S59577424,Chachalaca Cabecigrís,Ortalis cinereiceps,751,1,CR-P,,L9804364,"Biolley, Provincia de Puntarenas, CR (9,034, -83,042)",9.0252436,-83.0486868,2019-09-07,06:05 AM,eBird - Traveling Count,120,1,1.3,,4
S66307576,Chachalaca Cabecigrís,Ortalis cinereiceps,751,3,CR-P,,L11039908,"Biolley, Provincia de Puntarenas, CR (9,036, -83,041)",9.0358871,-83.0406992,2020-03-28,05:52 AM,eBird - Traveling Count,105,1,1,,1
S66501951,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L10981619,"CASA Chirripó B&K Tours CR (9,475, -83,611)",9.4751642,-83.6111374,2020-03-22,07:37 AM,eBird - Traveling Count,60,0,.4,,2
S66501978,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-SJ,,L10981619,"CASA Chirripó B&K Tours CR (9,475, -83,611)",9.4751642,-83.6111374,2020-04-01,07:06 AM,eBird - Traveling Count,60,0,.49,,1
S63800825,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L9947554,"Cabagra, Provincia de Puntarenas, CR (9,135, -83,194)",9.1351854,-83.1942745,2020-01-25,02:49 PM,eBird - Traveling Count,121,1,2.22,,1
S62497663,Chachalaca Cabecigrís,Ortalis cinereiceps,751,4,CR-P,,L10323195,"Edmundo Huacas.21 dic. 2019 11:00 a.m.  9,121, -83,145",9.1206523,-83.1451817,2019-12-21,08:28 AM,eBird - Traveling Count,151,1,1.54,,5
